title,url,image,timestamp,category,kategori_pencarian
,https://finance.detik.com/bursa-dan-valas/d-8180016/rukun-raharja-buka-suara-usai-saham-digembok-bursa,https://akcdn.detik.net.id/community/media/visual/2022/04/08/ihsg-ditutup-menguat-1_43.jpeg?w=250&q=90,"Senin, 27 Okt 2025 11:32 WIB",,fluktuasi saham energi
,https://finance.detik.com/bursa-dan-valas/d-8169727/ihsg-tembus-8-000-prabowo-tertinggi-sepanjang-sejarah,https://akcdn.detik.net.id/community/media/visual/2024/04/22/jelang-putusan-mk-ihsg-menguat-3_43.jpeg?w=250&q=90,"Senin, 20 Okt 2025 16:18 WIB",,fluktuasi saham energi
,https://finance.detik.com/berita-ekonomi-bisnis/d-8144500/5-sifat-orang-kaya-yang-bikin-duit-mengalir-kamu-punya-salah-satunya,https://akcdn.detik.net.id/community/media/visual/2025/10/02/ilustrasi-pria-kaya-1759378346300_43.jpeg?w=250&q=90,"Sabtu, 04 Okt 2025 12:30 WIB",,fluktuasi saham energi
,https://finance.detik.com/bursa-dan-valas/d-8104950/laba-medco-susut-81-5-ini-penyebabnya,https://akcdn.detik.net.id/community/media/visual/2016/02/22/5722991a-fdaf-4bb2-9818-7caa31894e60_43.jpg?w=250&q=90,"Rabu, 10 Sep 2025 12:46 WIB",,fluktuasi saham energi
,https://news.detik.com/berita/d-8052112/di-retret-kadin-bamsoet-ingatkan-3-syarat-utama-bangun-iklim-usaha-ri,https://akcdn.detik.net.id/community/media/visual/2025/08/08/mpr-1754661963620_43.jpeg?w=250&q=90,"Jumat, 08 Agu 2025 21:07 WIB",,fluktuasi saham energi
,https://finance.detik.com/berita-ekonomi-bisnis/d-7981569/mitigasi-ekonomi-ri-di-masa-perang-iran-israel,https://akcdn.detik.net.id/community/media/visual/2025/06/25/detik-sore-25-juni-2025-1750835888427_43.jpeg?w=250&q=90,"Rabu, 25 Jun 2025 14:40 WIB",,fluktuasi saham energi
,https://inet.detik.com/business/d-7896820/apple-raup-rp-1-496-triliun-di-q2-2025-iphone-jadi-penopang,https://akcdn.detik.net.id/community/media/visual/2018/09/21/77280a4e-4b58-4e04-9f39-2a5c0f31364e_43.jpeg?w=250&q=90,"Jumat, 02 Mei 2025 20:45 WIB",,fluktuasi saham energi
,https://news.detik.com/berita/d-8321431/isi-pidato-lengkap-prabowo-di-wef-2026-davos-bicara-mbg-hingga-danantara,https://akcdn.detik.net.id/community/media/visual/2026/01/23/potret-prabowo-di-world-economic-forum-1769138839563_43.jpeg?w=250&q=90,"Jumat, 23 Jan 2026 15:14 WIB",,ketidakpastian pasar minyak mentah
,https://finance.detik.com/berita-ekonomi-bisnis/d-8293516/menakar-dampak-serangan-as-ke-venezuela-buat-ekonomi-ri,https://akcdn.detik.net.id/community/media/visual/2026/01/03/trump-sebut-as-sukses-gempur-venezuela-1767439962436_43.jpeg?w=250&q=90,"Selasa, 06 Jan 2026 05:55 WIB",,ketidakpastian pasar minyak mentah
,https://news.detik.com/dw/d-8292950/gimana-nasib-minyak-venezuela-setelah-as-singkirkan-maduro,https://akcdn.detik.net.id/community/media/visual/2026/01/05/dw-1767602872297_43.webp?w=250&q=90,"Senin, 05 Jan 2026 15:46 WIB",,ketidakpastian pasar minyak mentah
,https://finance.detik.com/berita-ekonomi-bisnis/d-8292422/trump-bikin-venezuela-panas-ri-kena-getahnya,https://akcdn.detik.net.id/community/media/visual/2026/01/04/usa-venezuelalegal-1767496691528_43.jpeg?w=250&q=90,"Senin, 05 Jan 2026 11:33 WIB",,ketidakpastian pasar minyak mentah
,https://finance.detik.com/energi/d-8291311/harga-minyak-bisa-mendidih-usai-trump-tangkap-presiden-venezuela-maduro,https://akcdn.detik.net.id/community/media/visual/2020/02/04/b21a4c0d-dca4-41fb-9380-5413e56fdc4e_43.jpeg?w=250&q=90,"Minggu, 04 Jan 2026 14:00 WIB",,ketidakpastian pasar minyak mentah
,https://finance.detik.com/energi/d-8191052/opec-putuskan-tahan-produksi-harga-minyak-langsung-naik,https://akcdn.detik.net.id/community/media/visual/2025/06/13/emas-minyak-membara-usai-israel-serang-iran-1749816526884_43.jpeg?w=250&q=90,"Senin, 03 Nov 2025 08:12 WIB",,ketidakpastian pasar minyak mentah
,https://finance.detik.com/berita-ekonomi-bisnis/d-8162665/perang-dagang-makin-panas-as-china-saling-jegal,https://akcdn.detik.net.id/community/media/visual/2021/03/17/as-dan-china-mengapa-hubungan-mereka-lebih-dari-sekadar-perang-dingin-kedua_43.jpeg?w=250&q=90,"Kamis, 16 Okt 2025 08:30 WIB",,ketidakpastian pasar minyak mentah
,https://finance.detik.com/berita-ekonomi-bisnis/d-8161444/badai-perang-dagang-makin-dekat-as-china-saling-jegal-di-lautan-dunia,https://akcdn.detik.net.id/community/media/visual/2025/05/13/awalnya-saling-ngegas-tarif-tinggi-as-china-kini-melunak-1747105335769_43.jpeg?w=250&q=90,"Rabu, 15 Okt 2025 10:49 WIB",,ketidakpastian pasar minyak mentah
,https://finance.detik.com/bursa-dan-valas/d-8160167/ihsg-tiba-tiba-ambrol-ada-apa,https://akcdn.detik.net.id/community/media/visual/2020/09/10/perdagangan-ihsg-disetop-usai-anjlok-5-3_43.jpeg?w=250&q=90,"Selasa, 14 Okt 2025 14:43 WIB",,ketidakpastian pasar minyak mentah
,https://finance.detik.com/berita-ekonomi-bisnis/d-8152048/harga-emas-dunia-pecah-rekor-perak-hingga-platinum-kompak-ikutan,https://akcdn.detik.net.id/community/media/visual/2025/07/08/ilustrasi-logam-mulia-1751943271924_43.jpeg?w=250&q=90,"Kamis, 09 Okt 2025 08:25 WIB",,ketidakpastian pasar minyak mentah
,https://news.detik.com/berita/d-8063312/perdana-pidato-lengkap-prabowo-beberkan-rapbn-2026,https://akcdn.detik.net.id/community/media/visual/2025/08/15/momen-pidato-perdana-prabowo-di-sidang-tahunan-mpr-1755233887684_43.jpeg?w=250&q=90,"Jumat, 15 Agu 2025 18:12 WIB",,guncangan harga gas alam
,https://finance.detik.com/berita-ekonomi-bisnis/d-7967612/dunia-bisa-kacau-jika-iran-tutup-selat-hormuz,https://akcdn.detik.net.id/community/media/visual/2021/01/05/kapalnya-disita-iran-korsel-kirimkan-kapal-perang-ke-selat-hormuz_43.jpeg?w=250&q=90,"Selasa, 17 Jun 2025 05:56 WIB",,guncangan harga gas alam
,https://finance.detik.com/berita-ekonomi-bisnis/d-7967399/4-dampak-mengerikan-buat-dunia-jika-iran-tutup-selat-hormuz,https://akcdn.detik.net.id/community/media/visual/2021/01/05/kapalnya-disita-iran-korsel-kirimkan-kapal-perang-ke-selat-hormuz_43.jpeg?w=250&q=90,"Senin, 16 Jun 2025 20:56 WIB",,guncangan harga gas alam
,https://finance.detik.com/berita-ekonomi-bisnis/d-7291787/berani-serang-israel-begini-kekuatan-ekonomi-iran-sang-juragan-migas-dunia,https://akcdn.detik.net.id/community/media/visual/2023/06/03/bendera-iran_43.jpeg?w=250&q=90,"Minggu, 14 Apr 2024 12:00 WIB",,guncangan harga gas alam
,https://finance.detik.com/berita-ekonomi-bisnis/d-7053834/peran-apbn-perkuat-fondasi-menuju-indonesia-maju-di-2045,https://akcdn.detik.net.id/community/media/visual/2023/11/24/kemenkeu_43.jpeg?w=250&q=90,"Jumat, 24 Nov 2023 09:58 WIB",,guncangan harga gas alam
,https://finance.detik.com/berita-ekonomi-bisnis/d-6739588/jerman-resesi-gegara-warganya-irit-belanja,https://akcdn.detik.net.id/community/media/visual/2022/10/18/resesi-mulai-mengancam-ketahanan-ekonomi-jerman_43.jpeg?w=250&q=90,"Jumat, 26 Mei 2023 07:54 WIB",,guncangan harga gas alam
,https://travel.detik.com/domestic-destination/d-6658495/liar-dan-menantang-taman-nasional-meru-betiri-hanya-untuk-petualang,https://akcdn.detik.net.id/community/media/visual/2023/04/05/taman-nasional-meru-betiri-2_43.jpeg?w=250&q=90,"Kamis, 06 Apr 2023 10:06 WIB",,guncangan harga gas alam
,https://finance.detik.com/berita-ekonomi-bisnis/d-6144416/jerman-di-pinggir-jurang-resesi-rusia-penyebabnya,https://akcdn.detik.net.id/community/media/visual/2022/02/23/ilustrasi-bendera-jerman_43.jpeg?w=250&q=90,"Jumat, 24 Jun 2022 10:49 WIB",,guncangan harga gas alam
,https://news.detik.com/kolom/d-6128752/kondisi-baru-ancaman-ekonomi-global,https://akcdn.detik.net.id/community/media/visual/2022/01/14/inflasi-di-as-menembus-level-tertinggi-dalam-empat-dekade_43.jpeg?w=250&q=90,"Rabu, 15 Jun 2022 15:34 WIB",,guncangan harga gas alam
,https://news.detik.com/kolom/d-6112229/rezim-baru-inflasi-energi,https://akcdn.detik.net.id/community/media/visual/2022/01/21/fasilitas-publik-mulai-gunakan-panel-surya-5_43.jpeg?w=250&q=90,"Senin, 06 Jun 2022 11:50 WIB",,guncangan harga gas alam
